app_id,app_name,categories,downloads
38,Google Messages,"Communication",2147483647
35,Google Drive,"Productivity",2147483647
56,Google Calendar,"Productivity",2147483647
51,Carrier Services,"Communication",2147483647
127,Gboard - the Google Keyboard,"Tools",2147483647
141,Google Play Games,"Entertainment",2147483647
28,Facebook Lite,"#7 top free social, Social""
29,Uber Eats: Food Delivery,""Get food delivery to your doorstep from thousands of amazing local and national restaurants. Find the meal you crave and order food from restaurants easily with the Uber Eats app. Track your order ",1000000000
41,Samsung Health,"Health & Fitness",1000000000
46,Google Play Books & Audiobooks,"Books & Reference",1000000000
18,Google Wallet,"#7 top free finance, Finance""
19,United Airlines,""Meet the United appFrom planning, to booking, to day of travel, we’ve got you covered.On our app you can:• look for flights across our global network and book them easily for yourself, or your friends and",1000000000
