categories,Total Reviews,Average Review Score
"Entertainment",66378,2.754451
"Food & Drink",57688,3.050496
"Communication",29997,2.9999
"Productivity",27937,3.159251
"Finance",21462,3.102134
"Social",19576,3.094095
"#5 top free business, Business""
16,Google One,""The Google One app lets you automatically back up your phone and manage your Google cloud storage.• Automatically back up the important things on your phone, like photos, contacts and messages using your 15 ",15000,3.0
"#6 top free shopping, Shopping""
176,Domino's Pizza USA,""Conveniently order Domino’s Pizza from anywhere on your Android phone or tablet. Build your pizza just the way you like it or choose one of our specialty pizzas. Add items from the rest of our oven-",15000,3.0
"#2 top free house & home, House & Home""
138,Shop: All your favorite brands,""LET’S GO SHOPPING- Earn Shop Cash and spend it in the app. Boost your balance with exclusive offers.- Shop the latest trends and stay connected to your favorite brands, all in on",14885,3.007726
"Shopping",13996,3.044155
"#7 top free finance, Finance""
19,United Airlines,""Meet the United appFrom planning, to booking, to day of travel, we’ve got you covered.On our app you can:• look for flights across our global network and book them easily for yourself, or your friends and",13040,2.699387
"Travel & Local",10877,2.0935
"Lifestyle",9380,2.081023
"#4 top free health & fitness, Health & Fitness""
95,Gauth: AI Study Companion,""Gauth is the #1 AI study companion powered by newest AI model! Trusted by millions of users, Gauth offers unlimited answers for all subjects. Try Gauth for all your learning ne",9207,2.989139
"Sports",8492,3.008243
"#9 top free music & audio, Music & Audio""
13,Scanner Radio - Police Scanner,""Listen to live audio from over 8,000 fire and police scanners, NOAA weather radio stations, ham radio repeaters, air traffic (ATC), and marine radios from around the world. Turn",7494,3.700427
"#9 top free travel & local, Travel & Local""
180,BURGER KING® App,""Get secret deals and exclusive mobile coupons with the official BURGER KING® app and save like a king! Explore our menu and find your nearest BK® restaurant anytime, anywhere. And in most ",5922,2.47771
"#4 top free news & magazines, News & Magazines""
97,""Nike: Shoes, Apparel & Stories",4320,4.219676
"Weather",4269,4.316702
"#2 top free video players & editors, Video Players & Editors""
215,Okta Verify,""Okta Verify is a lightweight app that allows you to securely access your apps via 2-step verification, ensuring that you, and only you, can access your app accounts.While you ",1393,1.231874
