Month_Name,Average_Review_Score
10-04,2.071429
10-05,2.432099
10-06,2.241379
10-07,2.269663
10-08,2.008929
10-09,2.067961
10-10,2.052632
10-11,2.196078
10-12,1.988372
11-01,2.125
11-02,1.908163
11-03,1.916667
11-04,1.875
11-05,1.98
11-06,1.938462
11-07,1.903846
11-08,1.939394
11-09,2.107143
11-10,2.066667
11-11,1.78125
11-12,1.789474
12-01,1.735849
12-02,1.632911
12-03,1.84438
12-04,1.945205
12-05,1.9
12-06,2.192661
12-07,2.076923
12-08,2.106796
12-09,1.925926
12-10,2.007692
12-11,2.010417
12-12,1.927083
13-01,2.067416
13-02,1.82716
13-03,2.825455
13-04,2.708861
13-05,2.065217
13-06,1.950617
13-07,1.794393
13-08,1.988235
13-09,1.938144
13-10,2.203883
13-11,2.751825
13-12,2.798913
14-01,2.702222
14-02,2.676136
14-03,2.95581
14-04,2.62426
14-05,2.159322
14-06,1.868354
14-07,1.957711
14-08,1.923395
14-09,2.005587
14-10,2.731343
14-11,2.622517
14-12,2.656934
15-01,2.820313
15-02,2.714286
15-03,2.738048
15-04,2.663366
15-05,3.32636
15-06,2.81875
15-07,2.586387
15-08,2.625641
15-09,2.705357
15-10,2.691824
15-11,2.733108
15-12,2.656805
16-01,2.844156
16-02,2.885932
16-03,3.286076
16-04,2.936102
16-05,2.712551
16-06,2.860169
16-07,2.808824
16-08,2.756757
16-09,2.861538
16-10,2.949153
16-11,2.78903
16-12,2.828897
17-01,2.727941
17-02,2.66787
17-03,2.936275
17-04,3.269755
17-05,2.679558
17-06,2.665354
17-07,2.720721
17-08,2.829596
17-09,2.592453
17-10,2.510204
17-11,2.582456
17-12,2.604775
18-01,2.614243
18-02,2.745223
18-03,2.712221
18-04,2.694954
18-05,2.844498
18-06,2.722581
18-07,2.785235
18-08,2.782779
18-09,3.134194
18-10,3.301967
18-11,3.415398
18-12,3.262266
19-01,3.277342
19-02,3.367672
19-03,3.335859
19-04,3.258041
19-05,3.237044
19-06,3.186742
19-07,3.345404
19-08,3.099909
19-09,3.100814
19-10,3.134882
19-11,3.163323
19-12,3.148606
20-01,3.378641
20-02,3.131909
20-03,3.198257
20-04,3.086056
20-05,3.008205
20-06,3.092366
20-07,3.050873
20-08,3.170976
20-09,3.17864
20-10,2.88788
20-11,2.820426
20-12,3.081872
21-01,3.077843
21-02,3.021153
21-03,3.0131
21-04,2.977611
21-05,2.97616
21-06,2.944742
21-07,2.926012
21-08,2.789293
21-09,2.753257
21-10,2.766922
21-11,2.721562
21-12,2.783651
22-01,2.838361
22-02,3.028098
22-03,2.754282
22-04,2.736412
22-05,2.846591
22-06,2.836943
22-07,2.81706
22-08,2.707692
22-09,2.652119
22-10,2.763043
22-11,2.726111
22-12,2.71081
23-01,2.767086
23-02,2.802525
23-03,2.821073
23-04,2.698882
23-05,2.6875
23-06,2.764785
23-07,2.770522
23-08,2.825781
23-09,2.846154
23-10,2.891485
23-11,2.979076
23-12,2.955609
24-01,2.985205
24-02,2.888032
24-03,2.888254
24-04,2.918853
24-05,2.937659
24-06,2.918205
24-07,2.815712
24-08,2.754339
24-09,2.774348
24-10,2.778901
24-11,2.860428
24-12,2.902744
25-01,3.060633
25-02,3.257912
25-03,3.275516
25-04,3.396432
