section,app_name,avg_score
Budgeting tools,Western Union Send Money Now,3.102134
Business tools,"Priceline: Hotel, Flight & Car",1.0
Entertainment,AXS Tickets,2.726795
Entertainment,IMDb: Movies & TV Shows,3.0
Food and drink apps,Panda Express,3.023994
Food and drink apps,Wingstop,3.282675
Go shopping,Safeway Deals & Delivery,3.044155
Maps & GPS,My Earthquake Alerts - Map,4.316702
Music & audio,Suno - AI Music,3.700427
Popular apps,Alibaba.com - B2B marketplace,3.0
Popular apps,Amazon Alexa,2.081023
Popular apps,Bluesky,3.094509
Popular apps,Dairy Queen® Food & Treats,3.02115
Popular apps,DoorDash - Dasher,3.0
Popular apps,Google Calendar,3.0
Popular apps,Google Play Games,2.484721
Popular apps,Google Voice,2.9998
Popular apps,Google Wallet,2.699387
Popular apps,"Linky AI: Chat, Play, Connect",3.093786
Popular apps,Local News: Breaking & Latest,4.219676
Popular apps,NCAA March Madness Live,3.008243
Popular apps,Planet Fitness Workouts,2.989139
Popular apps,Realtor.com Real Estate & Rent,3.007726
Popular apps,Subway®,3.0
Popular apps,Taco Bell Fast Food & Delivery,3.0
Popular apps,Talkie: Creative AI Community,3.000706
Popular apps,U-Haul,2.47771
Popular apps,Xbox,1.452455
Popular apps,Yahoo Mail,3.0
Popular apps,YouTube TV: Live TV & more,3.000533
Share photos & videos,TikTok Studio,1.231874
Tools & utilities,Smart Home Manager,3.343897
Travel & local,Frontier Airlines,2.284866
