app_id,app_name,"DATE_FORMAT(review_date, '%y-%m')",Total_Review
1,Western Union Send Money Now,12-01,1
1,Western Union Send Money Now,12-06,1
1,Western Union Send Money Now,12-07,1
1,Western Union Send Money Now,12-09,1
1,Western Union Send Money Now,12-10,1
1,Western Union Send Money Now,12-11,1
1,Western Union Send Money Now,13-04,1
1,Western Union Send Money Now,13-06,1
1,Western Union Send Money Now,13-09,1
6,AXS Tickets,13-09,1
6,AXS Tickets,13-10,1
6,AXS Tickets,13-11,1
6,AXS Tickets,14-01,1
6,AXS Tickets,14-02,1
6,AXS Tickets,14-03,1
6,AXS Tickets,15-01,1
6,AXS Tickets,15-04,1
6,AXS Tickets,15-07,1
6,AXS Tickets,15-09,1
6,AXS Tickets,15-10,1
6,AXS Tickets,15-11,1
6,AXS Tickets,16-02,1
6,AXS Tickets,16-08,1
6,AXS Tickets,16-10,1
6,AXS Tickets,16-12,1
6,AXS Tickets,17-08,1
6,AXS Tickets,17-09,1
6,AXS Tickets,17-11,1
9,Panda Express,14-08,1
9,Panda Express,14-11,1
9,Panda Express,15-03,1
9,Panda Express,15-06,1
9,Panda Express,16-04,1
9,Panda Express,16-11,1
9,Panda Express,17-01,1
9,Panda Express,17-03,1
9,Panda Express,17-06,1
9,Panda Express,17-07,1
9,Panda Express,17-10,1
9,Panda Express,17-12,1
9,Panda Express,18-04,1
9,Panda Express,18-05,1
9,Panda Express,18-06,1
96,Local News: Breaking & Latest,23-08,1
98,YouTube TV: Live TV & more,00-00,1
98,YouTube TV: Live TV & more,18-04,1
137,Realtor.com Real Estate & Rent,11-09,1
137,Realtor.com Real Estate & Rent,11-12,1
137,Realtor.com Real Estate & Rent,12-08,1
137,Realtor.com Real Estate & Rent,12-10,1
137,Realtor.com Real Estate & Rent,12-11,1
137,Realtor.com Real Estate & Rent,13-06,1
177,Talkie: Creative AI Community,00-00,1
178,NCAA March Madness Live,13-05,1
178,NCAA March Madness Live,14-02,1
178,NCAA March Madness Live,14-05,1
178,NCAA March Madness Live,14-12,1
178,NCAA March Madness Live,15-01,1
178,NCAA March Madness Live,15-02,1
178,NCAA March Madness Live,15-05,1
178,NCAA March Madness Live,15-07,1
178,NCAA March Madness Live,15-08,1
178,NCAA March Madness Live,15-12,1
178,NCAA March Madness Live,16-05,1
178,NCAA March Madness Live,16-07,1
178,NCAA March Madness Live,17-01,1
178,NCAA March Madness Live,17-07,1
178,NCAA March Madness Live,17-11,1
178,NCAA March Madness Live,18-05,1
178,NCAA March Madness Live,18-07,1
178,NCAA March Madness Live,19-01,1
178,NCAA March Madness Live,19-07,1
178,NCAA March Madness Live,19-11,1
178,NCAA March Madness Live,21-02,1
178,NCAA March Madness Live,21-10,1
178,NCAA March Madness Live,22-06,1
178,NCAA March Madness Live,22-07,1
178,NCAA March Madness Live,22-08,1
178,NCAA March Madness Live,22-09,1
178,NCAA March Madness Live,22-10,1
178,NCAA March Madness Live,22-12,1
178,NCAA March Madness Live,23-10,1
178,NCAA March Madness Live,24-02,1
178,NCAA March Madness Live,24-05,1
178,NCAA March Madness Live,24-10,1
178,NCAA March Madness Live,24-12,1
178,NCAA March Madness Live,25-02,1
179,U-Haul,16-11,1
179,U-Haul,17-04,1
179,U-Haul,17-05,1
179,U-Haul,17-08,1
179,U-Haul,17-10,1
179,U-Haul,17-11,1
179,U-Haul,17-12,1
179,U-Haul,18-01,1
217,Frontier Airlines,15-11,1
1,Western Union Send Money Now,11-10,2
1,Western Union Send Money Now,12-02,2
1,Western Union Send Money Now,12-03,2
1,Western Union Send Money Now,12-05,2
1,Western Union Send Money Now,12-08,2
1,Western Union Send Money Now,12-12,2
1,Western Union Send Money Now,13-01,2
1,Western Union Send Money Now,13-03,2
1,Western Union Send Money Now,13-08,2
2,"Priceline: Hotel, Flight & Car",19-01,2
6,AXS Tickets,13-08,2
6,AXS Tickets,14-05,2
6,AXS Tickets,14-10,2
6,AXS Tickets,14-12,2
6,AXS Tickets,15-06,2
6,AXS Tickets,15-08,2
6,AXS Tickets,16-11,2
6,AXS Tickets,17-04,2
6,AXS Tickets,17-07,2
6,AXS Tickets,18-03,2
9,Panda Express,14-09,2
9,Panda Express,14-12,2
9,Panda Express,15-01,2
9,Panda Express,15-04,2
9,Panda Express,15-08,2
9,Panda Express,16-05,2
9,Panda Express,16-06,2
9,Panda Express,16-09,2
9,Panda Express,16-12,2
9,Panda Express,17-02,2
9,Panda Express,17-05,2
9,Panda Express,18-01,2
10,Safeway Deals & Delivery,14-02,2
11,My Earthquake Alerts - Map,16-05,2
11,My Earthquake Alerts - Map,17-05,2
11,My Earthquake Alerts - Map,17-08,2
11,My Earthquake Alerts - Map,17-11,2
11,My Earthquake Alerts - Map,18-03,2
94,Planet Fitness Workouts,16-06,2
137,Realtor.com Real Estate & Rent,11-03,2
137,Realtor.com Real Estate & Rent,11-06,2
137,Realtor.com Real Estate & Rent,12-02,2
137,Realtor.com Real Estate & Rent,12-04,2
137,Realtor.com Real Estate & Rent,12-09,2
137,Realtor.com Real Estate & Rent,13-05,2
137,Realtor.com Real Estate & Rent,13-08,2
137,Realtor.com Real Estate & Rent,13-09,2
137,Realtor.com Real Estate & Rent,13-10,2
137,Realtor.com Real Estate & Rent,14-03,2
139,"Linky AI: Chat, Play, Connect",23-08,2
178,NCAA March Madness Live,14-09,2
178,NCAA March Madness Live,15-06,2
178,NCAA March Madness Live,16-06,2
178,NCAA March Madness Live,16-10,2
178,NCAA March Madness Live,16-12,2
178,NCAA March Madness Live,18-11,2
178,NCAA March Madness Live,19-12,2
