section,game_name,downloads
Abstract graphics,Geometry Dash SubZero,100000000
Abstract graphics,Tap Away,50000000
Abstract graphics,Woodber - Classic Number Game,10000000
Abstract graphics,Qblock: Wood Block Puzzle Game,100000000
Be the first to play,Pocket Hockey Stars,10000
Be the first to play,Cooking Blitz: Restaurant Game,10000
Be the first to play,Number Match - Number Game,50000
Be the first to play,Hexa Run: Hexa Puzzle Game,100000
Be the first to play,Word Search: Word Puzzle Games,500000
Browse popular games,Ludo King®,1000000000
Browse popular games,eFootball™,100000000
Browse popular games,Match Masters,50000000
Browse popular games,Five Nights at Freddy's,1000000
Browse popular games,Geometry Dash Lite,500000000
Browse popular games,Pokémon TCG Pocket - Card Game,10000000
Browse popular games,Whiteout Survival,50000000
Browse popular games,Puzzles & Survival,10000000
Browse popular games,MARVEL Strike Force: Squad RPG,50000000
Browse popular games,RFS - Real Flight Simulator,5000000
Browse popular games,Roblox,1000000000
Browse popular games,Subway Princess Runner,500000000
Browse popular games,Woodoku - Wood Block Puzzle,100000000
Browse popular games,Triple Match 3D,10000000
Browse popular games,My Talking Tom 2,500000000
Browse popular games,Age of Origins,50000000
Browse popular games,Trivia Crack Premium Quiz Game,500000
Browse popular games,Wordscapes,100000000
Casual games,Kick the Buddy－Fun Action Game,100000000
Casual games,Supreme Duelist,100000000
Casual games,Top Troops: Adventure RPG,1000000
Casual games,Pou,1000000000
Casual games,Woodoku Blast,1000000
Casual games,TDS - Tower Destiny Survive,10000000
Casual games,Tetris®,10000000
Casual games,Hole.io,100000000
Casual games,Solitaire 3D Fish,10000000
Casual games,Spider Solitaire: Card Games,50000000
Casual games,Sunshine Island : Farming Game,5000000
Casual games,Solar Smash,100000000
Casual games,Hunting Sniper,1000000
Casual games,Dirt Bike Unchained: MX Racing,5000000
Casual games,Wordscapes Solitaire,1000000
Casual games,Real Boxing 2,10000000
Casual games,Road Trip: Royal merge games,1000000
Casual games,Fishing Clash: Sport Simulator,100000000
Casual games,YAHTZEE With Buddies Dice Game,10000000
Casual games,Darts Club: PvP Multiplayer,10000000
Casual games,Crossword Master - Word Puzzle,5000000
Casual games,Antistress relaxing toy game,50000000
Casual games,Mortal Kombat,100000000
Casual games,Find The Cat - Spot It!,10000000
Casual games,Bubble POP GO! Puzzle Game,10000000
Casual games,Galaxiga: Space Arcade Shooter,50000000
Casual games,Dye Hard - Color War,50000000
Casual games,Solitaire Story - Ava's Manor,1000000
Casual games,Hexa Sort,10000000
Casual games,Traffic Rider,500000000
Cat games,The Battle Cats,10000000
Explore games on PC,Ronin: The Last Samurai,10000000
Explore games on PC,Braveland Heroes,1000000
Explore games on PC,War and Peace: Civil War,5000000
Explore games on PC,Zen Koi 2,5000000
Explore games on PC,Wild Castle: Tower Defense TD,5000000
