categories,app_name,downloads,score
"Finance",Western Union Send Money Now,10000000,4.6
"Travel & Local","Priceline: Hotel, Flight & Car",10000000,4.7
"Business",Slack,10000000,3.4
"Business",MyWalmart,1000000,4.7
"Finance",Fidelity Investments,5000000,4.6
"Entertainment",AXS Tickets,5000000,4.8
"Entertainment",IMDb: Movies & TV Shows,100000000,4.4
"Food & Drink",Wingstop,1000000,4.8
"Food & Drink",Panda Express,5000000,4.7
"Shopping",Safeway Deals & Delivery,5000000,4.7
"Weather",My Earthquake Alerts - Map,5000000,4.6
"#9 top free music & audio, Music & Audio""
13,Scanner Radio - Police Scanner,""Listen to live audio from over 8,000 fire and police scanners, NOAA weather radio stations, ham radio repeaters, air traffic (ATC), and marine radios from around the world. Turn",Suno - AI Music,5000000,4.8
"Food & Drink",Dairy Queen® Food & Treats,5000000,4.5
"#5 top free business, Business""
16,Google One,""The Google One app lets you automatically back up your phone and manage your Google cloud storage.• Automatically back up the important things on your phone, like photos, contacts and messages using your 15 ",DoorDash - Dasher,10000000,4.4
"Communication",Yahoo Mail,100000000,4.5
"#7 top free finance, Finance""
19,United Airlines,""Meet the United appFrom planning, to booking, to day of travel, we’ve got you covered.On our app you can:• look for flights across our global network and book them easily for yourself, or your friends and",Google Wallet,1000000000,4.5
"#5 top free maps & navigation, Maps & Navigation""
21,NetShort - Popular Dramas & TV,""Welcome to NetShort, a next-generation HD streaming platform where we offer exclusive vertical TV programming. Our goal is to change how you watch movies, allowing you t",Transit • Subway & Bus Times,10000000,4.6
"#9 top grossing productivity, Productivity""
23,Claude by Anthropic,""Whether you're drafting a business proposal between meetings, translating menus while traveling, brainstorming gift ideas while shopping, or composing a speech while waiting for a flight",Microsoft Word: Edit Documents,1000000000,4.8
"Social",textPlus: Text Message + Call,50000000,4.1
"#3 top grossing social, Social""
26,Google Earth,""Create and collaborate on immersive, data-driven maps from anywhere, with the new Google Earth. See the world from above with high-resolution satellite imagery, explore 3D terrain and buildings in hundreds",Bigo Live - Live Streaming App,500000000,4.4
"Travel & Local",Marriott Bonvoy: Book Hotels,10000000,4.8
"#7 top free social, Social""
29,Uber Eats: Food Delivery,""Get food delivery to your doorstep from thousands of amazing local and national restaurants. Find the meal you crave and order food from restaurants easily with the Uber Eats app. Track your order ",Facebook Lite,1000000000,4.4
"Entertainment",VIZIO | WatchFree+,10000000,4.3
"Tools",Google Lens,1000000000,4.7
"#10 top free food & drink, Food & Drink""
33,Intuit Credit Karma,""CONNECT YOUR ACCOUNTS FOR FINANCIAL INSIGHTS- Track your monthly spending- Monitor transactions- Look out for ATM fees, late payments and moreGET TO KNOW YOUR CREDIT- Get alerts when credit",Wendy’s,10000000,4.7
"Shopping",Dollar General-Digital Coupons,10000000,4.7
"Productivity",Google Drive,2147483647,4.3
"#3 top free health & fitness, Health & Fitness""
37,""Scoopz: Real Life, Real Video",Finch: Self-Care Pet,5000000,4.9
"Communication",Google Messages,2147483647,4.5
"#9 top free photography, Photography""
40,Walmart: Shopping & Savings,""Save money. Live better.The Walmart app is the easiest way to shop for everything on your list, including fresh groceries, household essentials, the latest tech and a lot more. Plus, o",Amazon Photos: Photo & Video,50000000,4.7
"Health & Fitness",Samsung Health,1000000000,3.6
"Food & Drink",Popeyes® App,5000000,4.9
"Events","Ticketmaster－Buy, Sell Tickets",10000000,2.4
"#1 top grossing news & magazines, News & Magazines""
45,Google Keep - Notes and lists,""Quickly capture what’s on your mind and get a reminder later at the right place or time. Speak a voice memo on the go and have it automatically transcribed. Grab a phot",X,1000000000,3.8
"Books & Reference",Google Play Books & Audiobooks,1000000000,4.7
"Finance",Robinhood - FinTech SuperApp,10000000,4.2
"Entertainment",Meta Horizon,10000000,3.7
"#8 top free communication, Communication""
50,""Character AI: Chat, Talk, Text",Getcontact,100000000,4.2
"Communication",Carrier Services,2147483647,4.3
"#1 top free news & magazines, News & Magazines""
53,Tor Browser,""Tor Browser for Android is the only official mobile browser supported by the Tor Project, developers of the world’s strongest tool for privacy and freedom online.Tor Browser will ALWAYS be f",NewsBreak: Local News & Alerts,50000000,4.6
"#3 top free tools, Tools""
55,Workday,""The Workday Mobile App gives you the tools, insights, and answers you need to maintain workplace productivity - all in one convenient place.TOP FEATURESThe Workday app is the ultimate mobile solution that gives you i","DuckDuckGo Browser, Search, AI",50000000,4.7
"Productivity",Google Calendar,2147483647,4.6
"Food & Drink",Taco Bell Fast Food & Delivery,10000000,1.9
"Food & Drink",Subway®,10000000,4.4
"Entertainment",Xbox,100000000,4.5
"#6 top free productivity, Productivity""
61,ReelShort - Stream Drama & TV,""Tired of never finishing a movie or paying for unused subscriptions?Watch ReelShort — Every Second is DramaWelcome to ReelShort, a next-gen HD streaming platform offering exclusive",DeepSeek - AI Assistant,10000000,4.3
"#6 top free education, Education""
63,Text Me: Second Phone Number,""Text Free - Free Text to any number in the USA Canada: free text / SMS plus MMS plus group chat!Free Calling App - Free Call to any number in the USA Canada: next generation real voice ca",Speak & Learn English: Learna,10000000,4.6
"#6 top free music & audio, Music & Audio""
65,Google Chat,""Google Chat is an intelligent and secure communication and collaboration tool, built for teams. From ad-hoc messaging to topic-based workstream collaboration, Chat makes it easy to get work done w",Amazon Music: Songs & Podcasts,100000000,3.5
"Productivity",HP Smart,100000000,4.3
"#3 top grossing communication, Communication""
68,Weather,""Hyperlocal weather forecasts are here to help you own the day! Trusted by 100 Million+ users across the world, the Weather app by Swish will keep you weather-ready, every day.Key Features✓10 Day w",TextNow: Call + Text Unlimited,100000000,4.5
"Finance","Coinbase: Buy BTC, ETH, SOL",10000000,4.5
"Communication",Samsung Internet Browser,1000000000,3.6
"Productivity",Google Tasks,10000000,4.6
"#5 top free business, Business""
73,Microsoft OneDrive,""Microsoft OneDrive’s cloud storage secures photos, videos, and files to keep them protected, synced, and accessible on all your devices. The OneDrive app lets you view and securely share photos, vide",Microsoft Authenticator,100000000,4.7
"#10 top free lifestyle, Lifestyle""
75,UpFoto - AI Photo Enhancer,""Want to enhance blurry, pixelated, and damaged photos to amazing HD quality? Try AI Photo Enhancer, and refresh your precious memories with just one click!Based on cutting-edge AI technolo",Nextdoor: Neighborhood network,10000000,4.4
"#5 top grossing art & design, Art & Design""
77,Audiomack: Music Downloader,""Stream and download the best new trending music (full tracks offline data-free) and listen to your local MP3s! Browse music from the best artists in top categories like Hip-Hop, ",ibis Paint X,100000000,4.4
"Business",Intune Company Portal,50000000,2.6
"Travel & Local",Hilton Honors: Book Hotels,10000000,4.5
"Tools",Beats,5000000,3.8
"Communication",Firefox Fast & Private Browser,100000000,4.6
"Social",Telegram X,100000000,4.2
"Lifestyle",Google Home,1000000000,4.2
"Finance",Zelle®,10000000,4.1
"#4 top free news & magazines, News & Magazines""
86,Kikoff - Build Credit Quickly,""Kikoff is the smartest way to build credit fast.Starting under 600? You could jump 25 points your first month.*Pick a plan, starting at just $5 a month.†Make your first pay",Substack,1000000,4.8
"Food & Drink",KFC US - Ordering App,5000000,3.4
"#8 top free travel & local, Travel & Local""
89,Shazam: Find Music & Concerts,""Shazam can identify songs playing around you or in other apps, even with headphones on. Discover artists, song lyrics, and upcoming concerts—all for free. With over 2 billion i",American Airlines,10000000,4.6
"Communication",GroupMe,10000000,4.6
"#6 top free entertainment, Entertainment""
92,DHgate-online wholesale stores,""The DHgate shopping app allows free access to the DHgate wholesale marketplace on the go – connecting you directly to wholesale sellers and getting you cheap prices.The DHgate a",Apple TV,50000000,3.5
"Food & Drink",SONIC Drive-In - Order Online,10000000,4.5
"#4 top free health & fitness, Health & Fitness""
95,Gauth: AI Study Companion,""Gauth is the #1 AI study companion powered by newest AI model! Trusted by millions of users, Gauth offers unlimited answers for all subjects. Try Gauth for all your learning ne",Planet Fitness Workouts,10000000,4.6
"#4 top free news & magazines, News & Magazines""
97,""Nike: Shoes, Apparel & Stories",Local News: Breaking & Latest,5000000,4.5
