Month,app_name,total_reviews
4,Western Union Send Money Now,1995
3,Western Union Send Money Now,2007
2,Western Union Send Money Now,1776
12,Western Union Send Money Now,1953
11,Western Union Send Money Now,1679
1,Western Union Send Money Now,1614
8,Western Union Send Money Now,1696
5,Western Union Send Money Now,1859
7,Western Union Send Money Now,1642
6,Western Union Send Money Now,1682
10,Western Union Send Money Now,1912
9,Western Union Send Money Now,1647
4,"Priceline: Hotel, Flight & Car",143
3,"Priceline: Hotel, Flight & Car",171
2,"Priceline: Hotel, Flight & Car",146
12,"Priceline: Hotel, Flight & Car",127
11,"Priceline: Hotel, Flight & Car",111
1,"Priceline: Hotel, Flight & Car",117
5,"Priceline: Hotel, Flight & Car",143
9,"Priceline: Hotel, Flight & Car",123
7,"Priceline: Hotel, Flight & Car",146
6,"Priceline: Hotel, Flight & Car",140
8,"Priceline: Hotel, Flight & Car",141
10,"Priceline: Hotel, Flight & Car",112
2,AXS Tickets,563
4,AXS Tickets,646
3,AXS Tickets,800
1,AXS Tickets,424
12,AXS Tickets,401
10,AXS Tickets,521
9,AXS Tickets,612
5,AXS Tickets,463
8,AXS Tickets,411
11,AXS Tickets,462
7,AXS Tickets,437
6,AXS Tickets,541
11,IMDb: Movies & TV Shows,1108
1,IMDb: Movies & TV Shows,1139
3,IMDb: Movies & TV Shows,1229
12,IMDb: Movies & TV Shows,1122
10,IMDb: Movies & TV Shows,1267
8,IMDb: Movies & TV Shows,1584
7,IMDb: Movies & TV Shows,1854
6,IMDb: Movies & TV Shows,1013
2,IMDb: Movies & TV Shows,1152
9,IMDb: Movies & TV Shows,1300
4,IMDb: Movies & TV Shows,1151
5,IMDb: Movies & TV Shows,1081
4,Wingstop,897
3,Wingstop,741
11,Wingstop,520
8,Wingstop,890
7,Wingstop,952
6,Wingstop,823
5,Wingstop,792
1,Wingstop,603
2,Wingstop,608
12,Wingstop,618
10,Wingstop,577
9,Wingstop,770
2,Panda Express,835
12,Panda Express,986
11,Panda Express,1093
1,Panda Express,832
5,Panda Express,1002
9,Panda Express,564
4,Panda Express,1138
6,Panda Express,550
3,Panda Express,937
7,Panda Express,743
8,Panda Express,610
10,Panda Express,671
4,Safeway Deals & Delivery,1160
3,Safeway Deals & Delivery,1286
2,Safeway Deals & Delivery,1079
12,Safeway Deals & Delivery,1131
11,Safeway Deals & Delivery,1455
1,Safeway Deals & Delivery,1187
10,Safeway Deals & Delivery,1524
6,Safeway Deals & Delivery,1033
8,Safeway Deals & Delivery,1199
9,Safeway Deals & Delivery,1144
5,Safeway Deals & Delivery,783
7,Safeway Deals & Delivery,1015
6,My Earthquake Alerts - Map,204
3,My Earthquake Alerts - Map,326
5,My Earthquake Alerts - Map,259
12,My Earthquake Alerts - Map,281
1,My Earthquake Alerts - Map,1070
4,My Earthquake Alerts - Map,712
10,My Earthquake Alerts - Map,201
7,My Earthquake Alerts - Map,228
11,My Earthquake Alerts - Map,215
2,My Earthquake Alerts - Map,325
9,My Earthquake Alerts - Map,257
8,My Earthquake Alerts - Map,191
1,Suno - AI Music,674
4,Suno - AI Music,1874
3,Suno - AI Music,2207
2,Suno - AI Music,1351
12,Suno - AI Music,1388
3,Dairy Queen® Food & Treats,1354
2,Dairy Queen® Food & Treats,562
1,Dairy Queen® Food & Treats,526
12,Dairy Queen® Food & Treats,473
11,Dairy Queen® Food & Treats,476
7,Dairy Queen® Food & Treats,824
9,Dairy Queen® Food & Treats,808
5,Dairy Queen® Food & Treats,753
8,Dairy Queen® Food & Treats,651
6,Dairy Queen® Food & Treats,696
10,Dairy Queen® Food & Treats,592
4,Dairy Queen® Food & Treats,1221
4,DoorDash - Dasher,1806
3,DoorDash - Dasher,2034
2,DoorDash - Dasher,1494
11,DoorDash - Dasher,1192
10,DoorDash - Dasher,907
1,DoorDash - Dasher,1302
9,DoorDash - Dasher,785
8,DoorDash - Dasher,830
12,DoorDash - Dasher,1342
7,DoorDash - Dasher,856
5,DoorDash - Dasher,1242
6,DoorDash - Dasher,1210
4,Yahoo Mail,1514
3,Yahoo Mail,1867
2,Yahoo Mail,1877
12,Yahoo Mail,1344
1,Yahoo Mail,1314
11,Yahoo Mail,1253
9,Yahoo Mail,1079
10,Yahoo Mail,1061
8,Yahoo Mail,1114
7,Yahoo Mail,761
5,Yahoo Mail,982
6,Yahoo Mail,834
3,Google Wallet,1389
12,Google Wallet,1103
4,Google Wallet,1099
2,Google Wallet,1214
11,Google Wallet,1230
1,Google Wallet,1135
10,Google Wallet,1135
9,Google Wallet,978
8,Google Wallet,1202
6,Google Wallet,706
7,Google Wallet,1110
5,Google Wallet,739
3,Google Calendar,1535
2,Google Calendar,1499
1,Google Calendar,1265
11,Google Calendar,1319
4,Google Calendar,1249
12,Google Calendar,1076
8,Google Calendar,1157
9,Google Calendar,1400
7,Google Calendar,952
10,Google Calendar,1560
6,Google Calendar,915
5,Google Calendar,1073
2,Taco Bell Fast Food & Delivery,1015
11,Taco Bell Fast Food & Delivery,1403
12,Taco Bell Fast Food & Delivery,1403
1,Taco Bell Fast Food & Delivery,1167
10,Taco Bell Fast Food & Delivery,1408
9,Taco Bell Fast Food & Delivery,1242
8,Taco Bell Fast Food & Delivery,1327
