Month_Name,Average_Review_Score
13-10,1.0
13-11,2.657143
13-12,2.208333
14-01,2.142857
14-02,2.466667
14-03,2.272727
14-04,2.464286
14-05,2.272727
14-06,2.59375
14-07,2.760331
14-08,2.795918
14-09,2.635838
14-10,2.542169
14-11,2.587156
14-12,2.827089
15-01,2.415282
15-02,2.434579
15-03,2.31982
15-04,2.435294
15-05,2.52027
15-06,2.472222
15-07,2.443709
15-08,2.392
15-09,2.357724
15-10,2.225352
15-11,2.248
15-12,2.625806
16-01,2.577143
16-02,2.489796
16-03,2.604839
16-04,2.739726
16-05,2.545977
16-06,2.80791
16-07,2.816092
16-08,2.546875
16-09,2.496212
16-10,2.69802
16-11,2.69258
16-12,3.205374
17-01,3.127479
17-02,2.48366
17-03,2.882038
17-04,2.949561
17-05,2.905195
17-06,3.12731
17-07,3.490769
17-08,3.413793
17-09,3.213303
17-10,3.266491
17-11,3.135642
17-12,3.257749
18-01,2.915984
18-02,2.920097
18-03,2.943633
18-04,3.00365
18-05,2.971047
18-06,2.944785
18-07,3.020942
18-08,2.962025
18-09,3.293773
18-10,3.38394
18-11,3.41063
18-12,3.346575
19-01,3.239988
19-02,3.191124
19-03,3.208989
19-04,3.120654
19-05,3.153499
19-06,3.086559
19-07,3.229282
19-08,3.104733
19-09,3.144106
19-10,3.09082
19-11,3.107072
19-12,3.098968
20-01,3.180313
20-02,3.105322
20-03,3.135544
20-04,3.195579
20-05,3.06791
20-06,3.111237
20-07,3.135502
20-08,3.191254
20-09,3.161511
20-10,3.175389
20-11,3.119329
20-12,3.125211
21-01,3.112957
21-02,3.087969
21-03,2.968633
21-04,3.012808
21-05,3.088088
21-06,3.106998
21-07,3.154043
21-08,3.072809
21-09,3.04918
21-10,3.116365
21-11,3.065574
21-12,3.104395
22-01,3.110986
22-02,3.130627
22-03,3.208079
22-04,3.16968
22-05,3.146468
22-06,3.12179
22-07,3.117761
22-08,3.088219
22-09,3.064834
22-10,3.004218
22-11,3.07372
22-12,3.029143
23-01,3.070837
23-02,3.057743
23-03,3.047737
23-04,3.050871
23-05,2.982582
23-06,3.057583
23-07,3.078346
23-08,2.972627
23-09,2.955836
23-10,2.99824
23-11,2.992657
23-12,3.017926
24-01,3.058049
24-02,2.983214
24-03,3.052901
24-04,2.987906
24-05,3.007467
24-06,2.987758
24-07,2.949745
24-08,3.032288
24-09,3.071487
24-10,3.178434
24-11,3.269659
24-12,3.198352
25-01,3.197784
25-02,3.300051
25-03,3.338355
25-04,3.441068
