Type,app_name,Total Reviews,Average Helpful count
Apps,Alibaba.com - B2B marketplace,15000,109.4391
Apps,Amazon Alexa,9380,13.5921
Apps,AXS Tickets,6281,2.9116
Apps,Bluesky,8359,4.931
Apps,Dairy Queen® Food & Treats,8936,3.3406
Apps,DoorDash - Dasher,15000,10.5323
Apps,Frontier Airlines,9257,1.9707
Apps,Google Calendar,15000,17.983
Apps,Google Play Games,11879,68.8499
Apps,Google Voice,14997,9.0285
Apps,Google Wallet,13040,20.6239
Apps,IMDb: Movies & TV Shows,15000,16.3264
Apps,"Linky AI: Chat, Play, Connect",11217,7.7273
Apps,Local News: Breaking & Latest,4320,27.5368
Apps,My Earthquake Alerts - Map,4269,1.7409
Apps,NCAA March Madness Live,8492,1.7269
Apps,Panda Express,9961,1.2446
Apps,Planet Fitness Workouts,9207,2.8851
Apps,"Priceline: Hotel, Flight & Car",1620,14.3327
Apps,Realtor.com Real Estate & Rent,14885,3.2185
Apps,Safeway Deals & Delivery,13996,3.3362
Apps,Smart Home Manager,12937,2.68
Apps,Subway®,15000,2.9098
Apps,Suno - AI Music,7494,2.0502
Apps,Taco Bell Fast Food & Delivery,15000,2.7287
Apps,Talkie: Creative AI Community,12740,24.5328
Apps,TikTok Studio,1393,95.2469
Apps,U-Haul,5922,3.1042
Apps,Western Union Send Money Now,21462,3.2629
Apps,Wingstop,8791,0.6955
Apps,Xbox,5479,13.3024
Apps,Yahoo Mail,15000,12.9185
Apps,YouTube TV: Live TV & more,14999,21.7261
Games,Adorable Garden,119,3.1429
Games,Age of Apes,4757,26.3479
Games,Ash N Veil : Fast Idle Action,36,1.25
Games,Basketrio：Allstar Streetball,1383,1.8742
Games,Battle Strategy: Tower Defense,2716,1.6167
Games,Bit Heroes Quest: Pixel RPG,4895,2.9718
Games,Blockudoku®: Block Puzzle Game,5000,22.7708
Games,Braveland Heroes,976,2.917
Games,Bubble POP GO! Puzzle Game,5000,18.7574
Games,Cafe Panic: Cooking games,3483,7.5289
Games,Chaos Road: Combat Car Racing,2566,46.4018
Games,Cooking Blitz: Restaurant Game,18,4.6667
Games,Cubes Empire Champions,4080,5.7304
Games,DARK AND DARKER MOBILE,1525,2.3325
Games,Dark War Survival,5000,7.7628
Games,Delicious: The First Course,219,0.726
Games,Drive Zone: Car Simulator Game,4762,28.9666
Games,Dungeons of Dreadrock,2477,2.4679
Games,Dye Hard - Color War,3396,1.773
Games,E.T.E Chronicle,682,0.2331
Games,eFootball™,5000,178.0726
Games,Eversoul,3846,1.1867
Games,Five Nights at Freddy's,4558,30.5731
Games,Florence,1545,4.7528
Games,Free Fire MAX,5000,1836.8522
Games,Frozen War: Endless Frost,253,0.9368
Games,Galaxiga: Space Arcade Shooter,940,19.134
Games,Geometry Dash Lite,4999,65.829
Games,Geometry Dash SubZero,4754,25.4308
Games,Gold & Goblins: Idle Merger,5000,9.9668
Games,"Good Coffee, Great Coffee",4810,3.4516
Games,Grimvalor,773,2.2885
Games,GRIS,698,10.735
Games,Hero Wars: Alliance,5000,48.223
Games,Hexa Run: Hexa Puzzle Game,72,2.5694
Games,Hungry Shark Evolution,5000,116.2386
Games,Hustle Castle: Medieval games,5000,13.024
Games,Idle Mafia - Tycoon Manager,4651,4.0684
Games,Idle Pocket Planet,878,1.7563
Games,Idle Weapon Shop,711,2.5316
Games,imago - Card Guessing Game,17,2.9412
Games,Jurassic World™: The Game,760,19.3921
Games,Kick the Buddy－Fun Action Game,4999,80.4997
Games,Kick the Buddy: Second Kick,5000,31.0352
Games,King's Throne: Royal Delights,5000,8.5232
Games,Kitty’s Kitchen Diary,221,0.8507
Games,Klondike Adventures: Farm Game,5000,24.3948
Games,Lands of Jail,576,3.125
Games,Left to Survive: Zombie Games,4720,22.3996
Games,Leo's Fortune,2100,6.3829
Games,LEVELS II,33,0.7879
Games,Lords Mobile: Kingdom Wars,5000,121.6714
Games,Lucky Offense,242,1.6653
Games,Ludo King®,5000,428.5452
Games,Magic Rush: Heroes,5000,7.5736
Games,MARVEL Strike Force: Squad RPG,5000,20.7708
Games,Match Masters,5000,21.7454
Games,Meow Tower: Nonogram (Offline),2221,3.1383
Games,Monument Valley 2,2861,5.1185
Games,My Talking Tom,5000,217.554
Games,Nightfall: Kingdom Frontier TD,1594,1.1713
Games,Number Match - Number Game,30,2.9
Games,One State RP - Role Play Life,2759,6.203
Games,Pirates of the Caribbean: ToW,4792,7.3272
Games,"Please, Touch The Artwork",163,3.0245
Games,Pocket Hockey Stars,53,0.4906
Games,Pokémon TCG Pocket - Card Game,5000,12.0692
Games,Pou,5000,58.5229
Games,Puzzles & Survival,5000,16.4088
Games,Qblock: Wood Block Puzzle Game,2520,26.0012
Games,Real Cricket Swipe,735,16.4803
Games,Reigns,2921,2.761
Games,Rise of Castles: Ice and Fire,5000,27.8606
Games,Rollance : Adventure Balls,2563,51.4046
Games,Ronin: The Last Samurai,4879,8.6768
Games,Simon's Cat Match!,317,1.8644
Games,Ski Resort: Idle Tycoon & Snow,314,1.621
Games,Sky: Children of the Light,5000,27.885
Games,Sloppy Capy Life,13,16.0
Games,State of Survival: Zombie War,5000,38.108
Games,Summoners War,5000,10.9364
Games,Superliminal,336,3.1518
Games,Supreme Duelist,5000,50.9344
Games,Tales of Wind: Radiant Rebirth,421,2.7458
Games,Tap Away,5000,14.6024
Games,TDS - Tower Destiny Survive,3467,3.9083
Games,The Battle of Polytopia,4921,8.453
Games,The Godfather: Family Dynasty,2772,5.6291
Games,The Legend of Neverland,4355,8.5658
Games,The Past Within,1402,2.0963
Games,The White Door,1419,8.4729
Games,Tizi Princess Home Design Game,2446,22.1783
Games,Top Troops: Adventure RPG,3369,4.7171
Games,Toy Match 3D: Triple Match,617,1.8023
Games,Undersea Solitaire Tripeaks,2383,3.1695
Games,Vampire: The Masquerade - CoNY,35,2.1714
Games,War and Magic: Kingdom Reborn,3922,10.7236
Games,War and Peace: Civil War,4481,4.0973
Games,Whiteout Survival,5000,19.109
Games,Wild Castle: Tower Defense TD,3615,4.2501
Games,Woodber - Classic Number Game,4088,1.9508
Games,Woodoku Blast,1584,2.5795
Games,Word Search: Word Puzzle Games,157,6.0955
Games,Words of Wonders: Crossword,5000,34.448
Games,Zen Koi 2,3137,4.7447
Games,Zombie.io - Shooting RPG,2537,1.3071
Games,기적의 검,207,8.8792
